V2,V4,X,X.1
ZBTB33,DHRS2,0.2125075,0.112755874
ZBTB33,POP7,0.1532736,0.053390608
ZBTB33,TUBGCP5,0.1767830,0.076952151
ZBTB33,UHRF2,0.2523437,0.152680474
ZBTB33,CFAP70,0.2786805,0.179075708
ZBTB33,SLC15A4,0.2130130,0.113262520
ZBTB33,CYB5D1,0.2438044,0.144122236
ZBTB33,SLX4IP,0.1377517,0.037834266
ZBTB33,MDH1B,0.2622538,0.162612551
ZBTB33,CRKL,0.2092345,0.109475621
ZBTB33,NANP,0.2543424,0.154683641
ZBTB33,ZNF280B,0.1424160,0.042508938
ZBTB33,MAPK14,0.3649505,0.265537075
ZBTB33,YDJC,0.1155616,0.015594934
ZBTB33,ZNF595,0.3157417,0.216219074
ZBTB33,ASXL1,0.2937503,0.194178957
ZBTB33,DHFR2,0.2509607,0.151294463
ZBTB33,EPB41L2,0.1504128,0.050523478
ZBTB33,EZH2,0.1065349,0.006548288
ZBTB33,GGA3,0.2616220,0.161979366
ZBTB33,SDF2L1,0.2657083,0.166074742
ZBTB33,PPIL2,0.1873857,0.087578405
ZBTB33,ABL1,0.1408734,0.040962876
ZBTB33,STXBP4,0.2963825,0.196817023
ZBTB33,CUTALP,0.1883879,0.088582798
ZBTB33,MMS22L,0.2384308,0.138736758
ZBTB33,ZNF718,0.1386407,0.038725316
ZBTB33,NOL11,0.2753625,0.175750332
ZBTB33,FGFR1OP2,0.1277832,0.027843646
ZBTB33,GAS8,0.2416270,0.141939967
ZBTB33,FBXW4P1,0.2100664,0.110309423
ZBTB33,GP1BB,0.2818586,0.182260855
ZBTB33,GRK4,0.2437546,0.144072348
ZBTB33,YPEL1,0.1925073,0.092711322
ZBTB33,GMPPA,0.2427728,0.143088309
ZBTB33,ACADSB,0.2689813,0.169354995
ZBTB33,ERCC6L2,0.1692336,0.069386049
ZBTB33,MALAT1,0.1177575,0.017795777
ZBTB33,THAP7-AS1,0.3304897,0.230999866
ZBTB33,DNAJC27,0.1681659,0.068315978
ZBTB33,ANKFY1,0.3132289,0.213700727
ZBTB33,LUC7L2,0.1465116,0.046613653
ZBTB33,STYXL1,0.1479141,0.048019287
ZBTB33,PI4KA,0.2909240,0.191346407
ZBTB33,C21orf62-AS1,0.1028076,0.002812668
ZBTB33,NLE1,0.3987203,0.299381813
