V2,V4,X,X.1
ZBTB33,ANKRD13C,0.2959335,0.196367259
ZBTB33,GRWD1,0.2025411,0.102767702
ZBTB33,MAD1L1,0.5410918,0.442069300
ZBTB33,SLC25A11,0.2984284,0.198867637
ZBTB33,SNHG3,0.1117219,0.011747086
ZBTB33,POLDIP3,0.2588447,0.159196214
ZBTB33,BTBD10,0.2250399,0.125316371
ZBTB33,MAK16,0.1099142,0.009935327
ZBTB33,TMEM209,0.1493829,0.049491563
ZBTB33,WDR73,0.2023382,0.102564337
ZBTB33,STRIP1,0.1523351,0.052450346
ZBTB33,NOP14,0.2794926,0.179889885
ZBTB33,TOP3B,0.5929921,0.494084653
ZBTB33,RAB36,0.1887402,0.088936216
ZBTB33,EIF4A3,0.2682081,0.168580335
ZNF263,LINC00910,0.6465969,0.547808373
ZNF263,DNPH1,0.1808929,0.081071446
ZNF263,RGS14,0.1526708,0.052786775
ZNF263,PMF1,0.3274045,0.227908016
ZNF263,SFXN2,0.2549743,0.155317160
ZNF263,RAVER1,0.1471221,0.047225777
ZNF263,TANGO2,0.2961039,0.196538050
ZNF263,RBM45,0.2509127,0.151246620
ZNF263,MAP3K8,0.2543979,0.154739510
ZNF263,NCOA7,0.5188247,0.419752779
ZNF263,CRKL,0.2385990,0.138905592
ZNF263,CSNK1E,0.1503221,0.050432888
ZNF263,YDJC,0.1173148,0.017352331
ZNF263,DBP,0.1049430,0.004953121
ZNF263,PAQR7,0.3207382,0.221226903
ZNF263,ZNF467,0.1401046,0.040192674
ZNF263,TRDMT1,0.2602052,0.160559710
ZNF263,DUSP6,0.3400941,0.240625741
ZNF263,ECE1,0.1489818,0.049089656
ZNF263,ETV3,0.3110809,0.211548240
ZNF263,SETD1B,0.2728974,0.173280040
ZNF263,TBC1D9,0.1963814,0.096594344
ZNF263,FBXO28,0.1640708,0.064212047
ZNF263,PIP5K1C,0.3948285,0.295481526
ZNF263,CTDNEP1,0.1980421,0.098258670
ZNF263,COTL1,0.1663649,0.066511272
ZNF263,ABCB10,0.3010854,0.201530537
ZNF263,LRRC8B,0.2715268,0.171906445
ZNF263,ELP5,0.1295982,0.029662997
ZNF263,LEMD3,0.1180569,0.018096155
ZNF263,SDF2L1,0.2311753,0.131465429
ZNF263,ABL1,0.2695281,0.169903279
ZNF263,ULK3,0.1280986,0.028160123
ZNF263,EDRF1,0.1242672,0.024320164
ZNF263,FBXW4P1,0.3156116,0.216089011
ZNF263,CNNM1,0.4628205,0.363624336
ZNF263,BRD3OS,0.2142779,0.114530544
ZNF263,TRMT2A,0.5443280,0.445312592
ZNF263,TAF5L,0.4766099,0.377444400
ZNF263,GLS2,0.1480112,0.048116826
ZNF263,AHDC1,0.1457182,0.045818743
ZNF263,GP1BB,0.2779710,0.178364846
ZNF263,ZNF740,0.3434492,0.243988276
ZNF263,PAXX,0.3644632,0.265048898
ZNF263,MKNK2,0.1960643,0.096276527
ZNF263,C19orf53,0.1236094,0.023660965
ZNF263,NDUFAF4,0.1295982,0.029662997
ZNF263,USP25,0.2086063,0.108846329
ZNF263,YPEL1,0.3354927,0.236014174
ZNF263,HIVEP2,0.1549132,0.055034208
