V2,V4,X,X.1
ZBTB33,HHLA3,0.1147506,0.014817555
ZBTB33,PMF1,0.1780531,0.078412378
ZBTB33,UHRF2,0.2013652,0.101832194
ZBTB33,CFAP70,0.1874999,0.087902890
ZBTB33,SLC15A4,0.1069051,0.006935829
ZBTB33,SLX4IP,0.1355524,0.035715471
ZBTB33,MDH1B,0.1997650,0.100224551
ZBTB33,CRKL,0.1369785,0.037148092
ZBTB33,NANP,0.3351705,0.236255412
ZBTB33,ZNF595,0.2892019,0.190074503
ZBTB33,DHFR2,0.3364597,0.237550553
ZBTB33,EPB41L2,0.2079469,0.108444280
ZBTB33,EZH2,0.3749754,0.276244133
ZBTB33,SMG5,0.3204420,0.221458931
ZBTB33,SDF2L1,0.1164625,0.016537375
ZBTB33,PPIL2,0.2558037,0.156522087
ZBTB33,ABL1,0.2449753,0.145643649
ZBTB33,STXBP4,0.1760408,0.076390825
ZBTB33,MMS22L,0.1861553,0.086552012
ZBTB33,ZNF718,0.1720853,0.072417045
ZBTB33,NOL11,0.2354722,0.136096696
ZBTB33,GAS8,0.2742789,0.175082664
ZBTB33,SNX5,0.1973300,0.097778318
ZBTB33,GP1BB,0.2017157,0.102184291
ZBTB33,GRK4,0.1518837,0.052122203
ZBTB33,GMPPA,0.1040716,0.004089275
ZBTB33,ERCC6L2,0.1079709,0.008006582
ZBTB33,PRDX1,0.1077109,0.007745389
ZBTB33,MRPS7,0.1085991,0.008637661
ZBTB33,DNAJC27,0.1834032,0.083787201
ZBTB33,ANKFY1,0.2943829,0.195279470
ZBTB33,STYXL1,0.3024641,0.203398030
ZBTB33,CDK12,0.1620084,0.062293605
ZBTB33,POLR2E,0.1623255,0.062612183
ZBTB33,NLE1,0.1236315,0.023739538
ZBTB33,WDR74,0.2985357,0.199451400
ZBTB33,MED1,0.2259581,0.126538701
ZBTB33,SPDL1,0.2690930,0.169872764
ZBTB33,BANP,0.2359294,0.136556039
ZBTB33,THAP1,0.2093235,0.109827241
ZBTB33,NBPF1,0.1381786,0.038353777
ZBTB33,INTS13,0.2355235,0.136148204
ZBTB33,DCAF6,0.2210994,0.121657477
ZBTB33,MAP2K2,0.2136202,0.114143758
ZBTB33,CIAPIN1,0.2329225,0.133535200
ZBTB33,PSMD5,0.2241063,0.124678315
ZBTB33,PPP4R3B,0.1470022,0.047218142
ZBTB33,CIP2A,0.3107335,0.211705579
ZBTB33,SUGP1,0.1464655,0.046678937
ZBTB33,CXCL16,0.1939163,0.094348909
ZBTB33,RFC5,0.1660243,0.066328055
ZBTB33,PPCDC,0.1074014,0.007434431
ZBTB33,NAA35,0.1897937,0.090207214
ZBTB33,RXRB,0.1558839,0.056140862
ZBTB33,THADA,0.1365212,0.036688750
ZBTB33,NSUN3,0.1496392,0.049867283
ZBTB33,GPATCH3,0.1327460,0.032896067
ZBTB33,PBLD,0.3049201,0.205865336
ZBTB33,STX5,0.2764654,0.177279238
ZBTB33,SUPT5H,0.2640318,0.164788225
ZBTB33,MED22,0.1619270,0.062211862
ZBTB33,METTL16,0.1325657,0.032714969
ZBTB33,WDR77,0.1866668,0.087065947
ZBTB33,NOL9,0.3021741,0.203106602
ZBTB33,COASY,0.1711449,0.071472352
ZBTB33,THAP7,0.1174153,0.017494545
ZBTB33,THAP2,0.2883699,0.189238705
ZBTB33,GRWD1,0.1910796,0.091499070
ZBTB33,SNHG3,0.1312255,0.031368520
ZBTB33,POLDIP3,0.2642230,0.164980298
ZBTB33,BTBD10,0.1800852,0.080453861
ZBTB33,TMEM79,0.1875592,0.087962415
ZBTB33,CNFN,0.1783325,0.078693078
ZBTB33,MAK16,0.1307682,0.030909177
ZBTB33,CROCCP2,0.1462901,0.046502772
ZBTB33,WDR73,0.1229771,0.023082044
ZBTB33,STRIP1,0.1396481,0.039830016
ZBTB33,NOP14,0.3101053,0.211074500
ZBTB33,TOP3B,0.1172318,0.017310197
ZBTB33,RSPH1,0.2928883,0.193777929
ZBTB33,KBTBD6,0.2891382,0.190010549
ZBTB33,LRSAM1,0.3587102,0.259903813
ZBTB33,MGME1,0.3560297,0.257210914
ZBTB33,SNAP29,0.1369785,0.037148092
ZBTB33,PAXBP1,0.2948660,0.195764819
ZBTB33,RAB36,0.1143521,0.014417233
ZBTB33,EIF4A3,0.1146692,0.014735811
ZNF263,LINC00910,0.1023578,0.002367574
ZNF263,FAM13A,0.2041455,0.104625359
ZNF263,CDKN1A,0.1572636,0.057526908
ZNF263,DNPH1,0.1403089,0.040493878
ZNF263,PMF1,0.1823793,0.082758593
ZNF263,RAVER1,0.2815600,0.182397297
ZNF263,TANGO2,0.1500444,0.050274381
ZNF263,RBM45,0.2631073,0.163859442
ZNF263,COMT,0.1845793,0.084968727
ZNF263,MAP3K8,0.3024634,0.203397293
ZNF263,CRKL,0.2070378,0.107530935
ZNF263,EXOC8,0.1225795,0.022682635
ZNF263,ARL6IP6,0.1604448,0.060722767
ZNF263,PAQR7,0.1898207,0.090234364
ZNF263,ZNF467,0.2123939,0.112911834
ZNF263,DUSP6,0.3078406,0.208799266
ZNF263,EGR1,0.1500444,0.050274381
ZNF263,ETFB,0.1553169,0.055571189
ZNF263,ETS2,0.2738971,0.174699017
ZNF263,ETV3,0.1398175,0.040000279
ZNF263,BPTF,0.1485549,0.048778005
ZNF263,RAB11FIP2,0.1559173,0.056174381
ZNF263,CTDNEP1,0.1596925,0.059967064
ZNF263,ABCB10,0.2730207,0.173818657
ZNF263,LRRC8B,0.2034537,0.103930326
ZNF263,ELP5,0.1469486,0.047164286
ZNF263,ABL1,0.1902761,0.090691826
ZNF263,GAMT,0.2882836,0.189151996
ZNF263,EDRF1,0.3330477,0.234122792
ZNF263,GART,0.2870229,0.187885442
ZNF263,CNNM1,0.1002703,0.000270354
ZNF263,BRD3OS,0.1487041,0.048927931
ZNF263,TRMT2A,0.1382497,0.038425244
ZNF263,TAF5L,0.1257519,0.025869671
ZNF263,AHDC1,0.1363804,0.036547248
ZNF263,GP1BB,0.2840250,0.184873764
ZNF263,ZNF740,0.2701556,0.170940232
ZNF263,PAXX,0.3075505,0.208507839
ZNF263,GIT1,0.1136997,0.013761796
ZNF263,C19orf53,0.1097752,0.009819187
ZNF263,USP25,0.1986695,0.099124032
ZNF263,YPEL1,0.1435182,0.043718031
ZNF263,ZDHHC8,0.1105792,0.010626899
ZNF263,APBB2,0.2053501,0.105835472
ZNF263,LINC01089,0.2491707,0.149858492
ZNF263,LINC01011,0.1605273,0.060805654
ZNF263,THAP7-AS1,0.1857307,0.086125452
ZNF263,MST1,0.1068563,0.006886869
ZNF263,NFKBIL1,0.4413565,0.342931794
ZNF263,NOP16,0.3699940,0.271239714
ZNF263,MED15,0.2118504,0.112365815
ZNF263,NSG2,0.1772501,0.077605671
ZNF263,PI4KA,0.1012391,0.001243633
ZNF263,PLAUR,0.3332524,0.234328456
ZNF263,C21orf62-AS1,0.1898207,0.090234364
ZNF263,DGCR8,0.1258432,0.025961382
ZNF263,RC3H2,0.2222988,0.122862425
ZNF263,PPIC,0.1012391,0.001243633
ZNF263,WBP1L,0.1644224,0.064718765
ZNF263,LRRC1,0.1136997,0.013761796
ZNF263,FGGY,0.1946375,0.095073441
ZNF263,CENPN,0.2624521,0.163201212
ZNF263,PROX1,0.2073278,0.107822362
ZNF263,SRGAP1,0.1978340,0.098284635
ZNF263,POGK,0.1039912,0.004008443
ZNF263,RALA,0.1319676,0.032114125
ZNF263,RAP1A,0.1625083,0.062795829
ZNF263,BCR,0.2596184,0.160354366
ZNF263,RPL38,0.1201445,0.020236402
ZNF263,SPATA20,0.1328056,0.032956000
ZNF263,VPS33A,0.1234082,0.023515149
ZNF263,BMPR1A,0.1253859,0.025502039
ZNF263,ITPRID2,0.1627347,0.063023302
ZNF263,KLF9,0.2442112,0.144876033
ZNF263,PPP1R11,0.3012589,0.202187180
ZNF263,TFDP1,0.1657627,0.066065214
ZNF263,TGIF1,0.3003659,0.201290082
ZNF263,C3,0.2583254,0.159055488
ZNF263,UBTF,0.1181668,0.018249512
ZNF263,C1orf35,0.1789151,0.079278411
ZNF263,PAGR1,0.5075703,0.409451386
ZNF263,ARMH3,0.1383581,0.038534138
ZNF263,PARP8,0.1492761,0.049502537
ZNF263,RTL10,0.2202382,0.120792356
ZNF263,ZNF668,0.3181052,0.219111316
ZNF263,TSC22D4,0.2913769,0.192259543
ZNF263,TRAPPC9,0.1885550,0.088962845
ZNF263,TMEM164,0.1291612,0.029294721
ZNF263,MEX3B,0.2816143,0.182451890
ZNF263,CAMKK1,0.1911190,0.091538666
ZNF263,DDI2,0.1136997,0.013761796
ZNF263,C19orf48,0.1757321,0.076080671
ZNF263,CROCCP2,0.2345630,0.135183350
ZNF263,TRIM52,0.1760524,0.076402534
ZNF263,PLXDC2,0.2426871,0.143344887
ZNF263,PLPP3,0.1643988,0.064695051
ZNF263,EIF3G,0.1779665,0.078325470
ZNF263,STX16,0.1104360,0.010483049
ZNF263,TOP3B,0.2717995,0.172591736
ZNF263,SLC39A13,0.3705123,0.271760463
ZNF263,XPR1,0.2019642,0.102433950
ZNF263,SNAP29,0.1201445,0.020236402
ZNF263,PAXBP1,0.2838406,0.184688438
ZNF263,TJP2,0.1176552,0.017735576
ZNF263,HOMER1,0.1565706,0.056830730
ZNF263,RAB36,0.1075449,0.007578618
ZNF263,HS2ST1,0.2001357,0.100596986
ZNF263,KMT2B,0.1676442,0.067955481
ZNF263,TRIM14,0.1676203,0.067931469
TRIM28,LINC00910,0.1058815,0.005907513
TRIM28,ZNF263,0.1434627,0.043662294
TRIM28,TXNRD2,0.1236983,0.023806576
TRIM28,MAPRE2,0.1722345,0.072566971
TRIM28,RCC1,0.1323090,0.032457061
TRIM28,ZNF572,0.2548668,0.155580891
TRIM28,CRKL,0.1911400,0.091559740
TRIM28,YDJC,0.1186198,0.018704626
TRIM28,ZNF595,0.1252701,0.025385632
TRIM28,SDF2L1,0.2117541,0.112269046
TRIM28,YPEL1,0.2990295,0.199947547
TRIM28,ST20,0.1834092,0.083793278
TRIM28,PCDH9,0.3405285,0.241638160
TRIM28,TESC,0.1429117,0.043108762
TRIM28,ARHGEF10L,0.2376505,0.138285020
TRIM28,NBPF1,0.1193368,0.019424962
TRIM28,PRKAR2B,0.1765708,0.076923283
TRIM28,BCR,0.1163359,0.016410200
TRIM28,TLE4,0.1361498,0.036315579
TRIM28,FAM155A,0.1454615,0.045670258
TRIM28,NUP214,0.1204826,0.020576054
TRIM28,ZNF436,0.1941150,0.094548496
TRIM28,IMMP2L,0.1708882,0.071214444
TRIM28,SNHG3,0.1241210,0.024231256
TRIM28,KRBA1,0.1055149,0.005539275
TRIM28,TOP3B,0.2676719,0.168445075
TRIM28,FANK1,0.3187308,0.219739815
TRIM28,SNAP29,0.1140954,0.014159325
TRIM28,CBX1,0.1636751,0.063967994
TRIM28,CEBPB,0.1361498,0.036315579
TRIM28,CHD3,0.2182334,0.118778315
TRIM28,ESR1,0.2048595,0.105342610
TRIM28,SERTAD2,0.1685994,0.068915053
TRIM28,SETDB1,0.2666580,0.167426531
TRIM28,VIM,0.2033378,0.103813919
TRIM28,ZNF197,0.1093716,0.009413701
CEBPB,LOC100270746,0.3530126,0.254179978
CEBPB,ALG3,0.1470584,0.047274616
CEBPB,TRIB1,0.2438405,0.144503599
CEBPB,UBAC1,0.1666778,0.066984637
CEBPB,TIMM44,0.1687160,0.069032196
CEBPB,ATG7,0.4046184,0.306024053
CEBPB,CHL1,0.2005374,0.101000592
CEBPB,KDM5B,0.1102565,0.010302688
