V2,V4,X
ZBTB33,XPC,2.086632e-02
ZBTB33,SF1,2.949389e-02
ZBTB33,MRPL57,1.319509e-02
ZBTB33,METTL16,3.989810e-03
ZBTB33,WDR77,2.192320e-04
ZBTB33,SLC39A7,1.180910e-03
ZBTB33,SPAG16,4.286860e-03
ZBTB33,NOL9,1.876374e-03
ZBTB33,NUP214,2.858100e-04
ZBTB33,NCOA4,1.230514e-02
ZBTB33,COASY,1.532949e-02
ZBTB33,THAP7,5.148210e-04
ZBTB33,ANKRD13C,2.750266e-03
ZBTB33,AIF1L,4.403870e-04
ZBTB33,THAP2,1.035393e-03
ZBTB33,GRWD1,1.571204e-02
ZBTB33,MAD1L1,4.691816e-03
ZBTB33,SLC25A11,7.336990e-04
ZBTB33,ZCCHC7,1.206653e-02
ZBTB33,POLDIP3,3.043791e-03
ZBTB33,BTBD10,3.396561e-03
ZBTB33,TMEM79,1.430400e-04
ZBTB33,NAA38,1.598441e-02
ZBTB33,JPH4,1.430400e-04
ZBTB33,MAK16,2.736030e-02
ZBTB33,OFD1,2.152817e-02
ZBTB33,ZNF341,1.480820e-04
ZBTB33,TMEM209,1.097306e-02
ZBTB33,WDR73,2.549649e-03
ZBTB33,STRIP1,2.501638e-03
ZBTB33,DENR,1.625233e-02
ZBTB33,NOP14,8.448079e-03
ZBTB33,MBTPS1,8.859910e-04
ZBTB33,FUBP1,7.514559e-03
ZBTB33,HERC1,3.503291e-03
ZBTB33,TOP3B,7.078079e-03
ZBTB33,RSPH1,7.500000e-05
ZBTB33,KBTBD6,1.410608e-03
ZBTB33,LRSAM1,4.086657e-03
ZBTB33,MGME1,2.320792e-03
ZBTB33,SNAP29,1.581257e-02
ZBTB33,PAXBP1,9.310330e-04
ZBTB33,POLR1C,3.332299e-02
ZBTB33,RBM39,4.861200e-03
ZBTB33,RAB36,1.614487e-02
ZBTB33,DZIP3,4.518146e-03
ZBTB33,BZW1,6.169361e-03
ZBTB33,EIF4A3,3.622720e-04
ZBTB33,CDC5L,1.764600e-04
ZNF263,FAM13A,2.237351e-03
ZNF263,CDKN1A,1.455170e-04
ZNF263,DENND4A,6.694529e-03
ZNF263,APC2,2.566771e-03
ZNF263,LAMC3,2.897850e-04
ZNF263,CDO1,2.910560e-04
ZNF263,DNPH1,8.176620e-04
ZNF263,HEXIM1,7.060000e-05
ZNF263,RGS14,5.796140e-04
ZNF263,IGF2BP3,2.160930e-04
ZNF263,MAN1A2,1.391966e-03
ZNF263,RPL35,6.287948e-03
ZNF263,ECD,9.766610e-04
ZNF263,SFXN2,9.984633e-03
ZNF263,RAVER1,1.430400e-04
ZNF263,MRPL55,2.160250e-04
ZNF263,VSTM2L,7.120000e-05
ZNF263,TANGO2,2.869630e-04
ZNF263,RBM45,3.810000e-06
ZNF263,AP1S3,2.910560e-04
ZNF263,COL13A1,2.710618e-03
ZNF263,COMT,3.674410e-04
ZNF263,MAP3K8,8.123480e-04
ZNF263,PPARGC1B,1.430400e-04
ZNF263,NCOA7,2.065806e-02
ZNF263,CRKL,3.650090e-02
ZNF263,GLIPR1L2,1.250000e-06
ZNF263,CSNK1E,1.335061e-02
ZNF263,VCAN,1.580687e-02
ZNF263,YDJC,1.430400e-04
ZNF263,ARL6IP6,1.395679e-03
ZNF263,DBP,2.173420e-04
ZNF263,PAQR7,2.154840e-04
ZNF263,PPP1R18,4.365740e-04
ZNF263,TRDMT1,1.731836e-03
ZNF263,DPAGT1,1.282406e-03
ZNF263,DUSP6,7.240000e-05
ZNF263,ECE1,9.229567e-03
ZNF263,EGR1,1.430400e-04
ZNF263,MUC20,1.430400e-04
ZNF263,UNC13D,7.276960e-04
ZNF263,ETFB,6.651640e-04
ZNF263,ETS2,1.430400e-04
ZNF263,ETV3,4.365740e-04
ZNF263,BPTF,6.026081e-03
ZNF263,NYAP1,1.044868e-03
ZNF263,ALDOA,7.787584e-03
ZNF263,RAB11FIP2,2.471100e-03
ZNF263,SBNO2,7.060000e-05
ZNF263,SIRT2,1.220937e-03
ZNF263,ACIN1,3.023657e-03
ZNF263,SETD1B,2.192320e-04
ZNF263,IQSEC2,2.126930e-02
ZNF263,TBC1D9,3.161064e-02
ZNF263,FBXO28,1.580687e-02
ZNF263,FBXW11,9.621943e-03
ZNF263,PIP5K1C,2.897850e-04
ZNF263,COTL1,6.426423e-03
ZNF263,ABCB10,1.599533e-03
ZNF263,LRRC8B,7.460480e-04
ZNF263,FOSL2,1.430400e-04
ZNF263,ELP5,7.432950e-04
ZNF263,LEMD3,1.050204e-02
ZNF263,SDF2L1,5.083980e-04
ZNF263,PPIL2,5.772980e-04
ZNF263,ABL1,6.805342e-03
ZNF263,MSRB3,2.099748e-03
ZNF263,DSTYK,1.813423e-03
ZNF263,MDS2,1.430400e-04
ZNF263,GAMT,5.083980e-04
ZNF263,ULK3,7.102144e-03
ZNF263,EDRF1,2.384948e-02
ZNF263,TIPRL,6.655590e-04
ZNF263,GART,3.523444e-02
ZNF263,ARL5A,2.090510e-03
ZNF263,CNNM1,2.154840e-04
ZNF263,MDGA1,8.123480e-04
ZNF263,NPTN,9.804640e-04
ZNF263,TRMT2A,1.442680e-04
ZNF263,TAF5L,4.365740e-04
ZNF263,RSPH14,1.442680e-04
ZNF263,GLS2,3.641300e-04
ZNF263,GPR162,2.897160e-04
ZNF263,AHDC1,3.446738e-03
ZNF263,GNAZ,4.365740e-04
ZNF263,ZNF740,2.154840e-04
ZNF263,MKNK2,5.925570e-04
ZNF263,GPX1,5.885360e-04
ZNF263,GIT1,4.704032e-02
ZNF263,C19orf53,1.440222e-03
ZNF263,NDUFAF4,1.578259e-02
ZNF263,USP25,8.244750e-04
ZNF263,YPEL1,4.404540e-04
ZNF263,ZDHHC8,6.390000e-05
ZNF263,ANAPC2,2.160930e-04
ZNF263,HDGF,6.696530e-04
ZNF263,EHD2,3.654230e-04
ZNF263,HIVEP2,9.684870e-04
ZNF263,HK1,1.644504e-03
ZNF263,FAM149B1,1.027074e-02
ZNF263,APBB2,5.881510e-04
ZNF263,APC,4.771233e-03
ZNF263,HYAL1,4.365740e-04
ZNF263,ZNF260,6.682640e-04
ZNF263,IREB2,1.056652e-02
ZNF263,MAST4,7.008747e-03
ZNF263,RHOC,2.010000e-05
ZNF263,ARL3,1.160404e-02
ZNF263,LTA4H,6.696530e-04
ZNF263,SMAD3,4.179870e-04
ZNF263,SMAD7,3.616100e-04
ZNF263,ARSB,5.092959e-03
ZNF263,MARK1,1.397327e-03
ZNF263,MBD1,5.148210e-04
ZNF263,MEF2C,9.035330e-04
ZNF263,ARVCF,1.347065e-02
ZNF263,MST1,1.036894e-03
ZNF263,ATM,1.061170e-03
ZNF263,NFKBIB,5.083980e-04
ZNF263,NFKBIL1,6.616100e-04
ZNF263,NID1,5.846550e-04
ZNF263,NPAT,3.654230e-04
ZNF263,P4HB,1.641206e-03
ZNF263,HDDC2,1.064499e-03
ZNF263,ZNF593,7.180000e-05
ZNF263,KCTD3,3.886487e-03
ZNF263,PCSK5,4.478531e-03
ZNF263,CSAD,1.466353e-03
ZNF263,NOP16,7.120000e-05
ZNF263,MED15,8.897115e-03
ZNF263,MPP6,1.548505e-03
ZNF263,PI4KA,2.770501e-03
ZNF263,PLAUR,2.173420e-04
ZNF263,POLR2A,2.390650e-04
ZNF263,DGCR8,1.641392e-02
ZNF263,RC3H2,5.684749e-03
ZNF263,DIRAS2,3.654230e-04
ZNF263,WBP1L,9.754200e-04
ZNF263,POLR2J3,7.180000e-05
ZNF263,THG1L,2.160930e-04
ZNF263,LARP1B,9.304492e-03
ZNF263,WRAP53,7.120000e-05
ZNF263,LRRC1,2.964339e-03
ZNF263,IMP3,2.493419e-02
ZNF263,FGGY,6.208370e-04
ZNF263,ANKRD30BL,8.176620e-04
ZNF263,MAML3,8.260000e-04
ZNF263,PRKAB2,5.122120e-04
ZNF263,NBPF1,5.768784e-03
ZNF263,TMEM30A,6.857367e-03
ZNF263,ZNF302,2.650860e-03
ZNF263,PSMB5,9.038100e-04
ZNF263,CMC2,1.937336e-03
ZNF263,UTP3,2.910560e-04
ZNF263,RTN4,7.803379e-03
ZNF263,SNX14,1.333041e-02
ZNF263,ARID1B,8.950914e-03
ZNF263,SRGAP1,1.429400e-03
ZNF263,POGK,2.201963e-02
ZNF263,PTPN4,1.162954e-03
ZNF263,ZNF462,1.204889e-02
ZNF263,BBS4,1.621259e-03
ZNF263,RALA,6.287948e-03
ZNF263,RANBP1,3.641300e-04
ZNF263,RAP1A,9.853110e-04
ZNF263,BRD2,4.930569e-03
ZNF263,RNPEP,7.392740e-04
ZNF263,ZFAND3,1.224568e-02
ZNF263,BCR,1.308099e-02
ZNF263,RPL27,5.925570e-04
ZNF263,RPL38,7.474630e-04
ZNF263,CEACAM1,6.616100e-04
ZNF263,SDC2,1.786365e-03
ZNF263,SRSF2,5.017101e-03
ZNF263,SRSF3,1.351170e-04
ZNF263,SDHAF1,2.873080e-04
ZNF263,UNKL,8.193109e-03
ZNF263,SPATA20,8.913760e-04
ZNF263,MRPL40,5.846550e-04
ZNF263,SLC1A3,2.083308e-03
ZNF263,RTN4R,1.442680e-04
ZNF263,INTS3,4.438465e-03
ZNF263,SLC2A5,7.120000e-05
ZNF263,BMPR1A,7.325097e-03
ZNF263,SLC25A1,7.060000e-05
ZNF263,SNCA,9.711530e-04
ZNF263,FSCN1,7.180000e-05
ZNF263,SON,5.438166e-03
ZNF263,SPI1,3.654230e-04
ZNF263,KLF9,2.454681e-03
ZNF263,TAF13,6.616100e-04
ZNF263,TALDO1,4.390650e-04
ZNF263,PPP1R11,5.885360e-04
ZNF263,NR2F1,3.002350e-02
ZNF263,TFDP1,6.682640e-04
ZNF263,TGFB1,7.803992e-03
ZNF263,TGFB2,7.071703e-03
ZNF263,TGIF1,6.682640e-04
ZNF263,TIAL1,6.005275e-03
ZNF263,TNFRSF1A,3.433740e-04
ZNF263,TP53,5.881510e-04
ZNF263,TPD52,1.455170e-04
ZNF263,TPD52L2,1.057301e-03
ZNF263,C3,1.250000e-06
ZNF263,TMEM242,1.250000e-06
ZNF263,UBTF,8.967860e-04
ZNF263,CA5A,2.873080e-04
ZNF263,ZFAND5,1.731836e-03
ZNF263,PHF23,7.240000e-05
ZNF263,MFSD11,1.359907e-03
ZNF263,C1orf35,2.910560e-04
ZNF263,NEIL1,1.229540e-02
ZNF263,PARP8,5.122120e-04
ZNF263,ZNF668,2.897850e-04
ZNF263,MCTP1,8.176620e-04
ZNF263,NUP214,1.873728e-03
ZNF263,PRR7,3.654230e-04
ZNF263,THAP7,8.058780e-04
ZNF263,TRIM11,7.180000e-05
ZNF263,TSC22D4,1.347488e-03
ZNF263,PPP1R14C,4.365740e-04
ZNF263,ARPC5L,1.812323e-02
ZNF263,LZTR1,2.870000e-05
ZNF263,NUF2,5.122120e-04
ZNF263,AIF1L,1.442680e-04
ZNF263,TRAPPC9,1.362529e-02
ZNF263,ADGRV1,4.136809e-03
ZNF263,TMEM164,4.274374e-03
ZNF263,LTBP4,7.120000e-05
ZNF263,CAMKK1,4.404540e-04
ZNF263,EFCAB2,4.202551e-02
ZNF263,DDI2,1.331475e-02
ZNF263,SLC9A7,1.928699e-02
ZNF263,CREB3L3,1.430400e-04
ZNF263,TUBA1C,7.102144e-03
ZNF263,TRIM52,4.391380e-04
ZNF263,LINGO1,9.396871e-03
ZNF263,PLXDC2,5.165800e-04
ZNF263,PPM1D,1.768277e-02
ZNF263,PDXK,4.085364e-03
ZNF263,KHSRP,2.309470e-04
ZNF263,PLPP3,4.865586e-03
ZNF263,CDK13,7.639623e-03
ZNF263,SSNA1,6.390000e-05
ZNF263,EIF3G,1.250000e-06
ZNF263,RGS9,4.404540e-04
ZNF263,SYNJ2,7.060000e-05
ZNF263,CCND2,5.161610e-04
ZNF263,TOP3B,2.173420e-04
ZNF263,ACVR1,8.569731e-03
ZNF263,RNF8,8.967860e-04
ZNF263,TRIM41,7.060000e-05
ZNF263,SCARF2,7.120000e-05
ZNF263,SLC16A3,7.180000e-05
ZNF263,SLC39A13,1.403180e-04
ZNF263,XPR1,1.034254e-02
ZNF263,ITGB1BP1,2.857132e-03
ZNF263,ADGRG1,2.325277e-02
ZNF263,HNRNPLL,1.374428e-03
ZNF263,TCEAL1,3.288320e-04
ZNF263,SNAP29,7.880000e-05
ZNF263,LHX2,6.088507e-03
ZNF263,PAXBP1,6.253026e-03
ZNF263,TJP2,7.356945e-03
ZNF263,GGPS1,5.536125e-03
ZNF263,HOMER1,3.654230e-04
ZNF263,BAG3,1.304211e-02
ZNF263,RNF14,9.644500e-04
ZNF263,RAB36,1.430400e-04
ZNF263,PPM1F,1.044868e-03
ZNF263,HS2ST1,1.371299e-02
ZNF263,PDE4DIP,2.392330e-02
ZNF263,KMT2B,1.320000e-05
ZNF263,TRIM14,3.616100e-04
ZNF263,MRC2,2.090560e-02
TRIM28,GPC6,2.688638e-03
TRIM28,ZNF263,3.640590e-04
TRIM28,TXNRD2,7.405230e-04
TRIM28,MAPRE2,1.323846e-02
TRIM28,RCC1,6.935290e-04
TRIM28,COMT,4.908547e-03
TRIM28,CRKL,1.913941e-02
TRIM28,ZNF280B,1.270644e-03
TRIM28,YDJC,5.116700e-04
TRIM28,ZNF595,3.640590e-04
TRIM28,RBM33,1.126670e-02
TRIM28,FABP3,6.637720e-04
TRIM28,GPC5,9.706187e-03
TRIM28,SDF2L1,1.410176e-03
TRIM28,PPIL2,4.554455e-03
TRIM28,ABL1,1.503679e-03
TRIM28,ZNF718,4.737516e-03
TRIM28,RSPH14,1.186166e-02
TRIM28,YPEL1,1.802057e-03
TRIM28,IRF2BP2,1.636026e-02
TRIM28,MKLN1,4.563776e-02
TRIM28,MTTP,1.270644e-03
TRIM28,PCDH9,2.074497e-02
TRIM28,PCMT1,5.814590e-04
TRIM28,PIK3CB,1.056222e-02
TRIM28,PI4KA,3.110000e-05
TRIM28,TESC,1.497393e-03
TRIM28,ARHGEF10L,1.062073e-03
TRIM28,ANKRD30BL,1.136455e-03
TRIM28,NBPF1,1.180828e-02
TRIM28,PRKAR2B,2.059696e-03
TRIM28,MAPK1,4.466658e-03
TRIM28,BCR,3.272252e-03
TRIM28,ZSCAN31,2.699729e-03
TRIM28,MRPL40,1.270644e-03
TRIM28,TLE4,4.480080e-03
TRIM28,FAM155A,1.464901e-02
TRIM28,HIRA,1.974758e-03
TRIM28,ASPSCR1,2.353913e-02
TRIM28,NUP214,9.009327e-03
TRIM28,AIF1L,3.055940e-04
TRIM28,IMMP2L,2.113590e-02
TRIM28,KRBA1,2.151390e-04
TRIM28,TOP3B,1.304783e-03
TRIM28,FANK1,1.714370e-03
