V2,V4,X
ZBTB33,UBE2D3,8.631765e-02
ZBTB33,XPC,2.319153e-01
ZBTB33,SF1,1.121262e-01
ZBTB33,MRPL57,1.097569e-01
ZBTB33,METTL16,9.756980e-02
ZBTB33,WDR77,5.582325e-02
ZBTB33,SLC39A7,4.938738e-02
ZBTB33,SPAG16,1.066358e-02
ZBTB33,NOL9,2.285232e-02
ZBTB33,NUP214,1.620826e-02
ZBTB33,NCOA4,1.791342e-01
ZBTB33,COASY,6.628974e-02
ZBTB33,THAP7,1.708231e-02
ZBTB33,ANKRD13C,2.464516e-02
ZBTB33,AIF1L,5.200752e-02
ZBTB33,THAP2,5.847012e-03
ZBTB33,GRWD1,5.397226e-02
ZBTB33,MAD1L1,1.797051e-01
ZBTB33,SLC25A11,7.741675e-02
ZBTB33,ZCCHC7,7.700571e-02
ZBTB33,POLDIP3,6.439447e-02
ZBTB33,BTBD10,1.141495e-01
ZBTB33,TMEM79,1.409935e-02
ZBTB33,NAA38,1.849010e-02
ZBTB33,JPH4,3.500369e-02
ZBTB33,MAK16,1.773859e-01
ZBTB33,OFD1,1.586236e-01
ZBTB33,ZNF341,8.353627e-02
ZBTB33,TMEM209,3.379953e-02
ZBTB33,WDR73,8.008904e-02
ZBTB33,STRIP1,2.401166e-01
ZBTB33,DENR,1.382054e-01
ZBTB33,NOP14,2.246845e-01
ZBTB33,MBTPS1,1.402914e-01
ZBTB33,FUBP1,3.102814e-01
ZBTB33,HERC1,3.382279e-02
ZBTB33,TOP3B,9.682237e-02
ZBTB33,RSPH1,6.765588e-02
ZBTB33,KBTBD6,6.049494e-02
ZBTB33,LRSAM1,1.103353e-01
ZBTB33,MGME1,2.586096e-02
ZBTB33,SNAP29,9.220359e-02
ZBTB33,PAXBP1,1.171795e-02
ZBTB33,POLR1C,2.401664e-01
ZBTB33,RBM39,1.101080e-01
ZBTB33,RAB36,7.002890e-03
ZBTB33,DZIP3,3.106589e-02
ZBTB33,BZW1,9.430720e-02
ZBTB33,EIF4A3,1.196158e-01
ZBTB33,CDC5L,6.037271e-03
ZNF263,FAM13A,1.270461e-01
ZNF263,CDKN1A,1.738217e-01
ZNF263,DENND4A,8.108319e-02
ZNF263,APC2,6.592106e-02
ZNF263,LAMC3,6.292353e-02
ZNF263,CDO1,9.742695e-02
ZNF263,DNPH1,6.237926e-02
ZNF263,HEXIM1,4.570486e-02
ZNF263,RGS14,1.583219e-01
ZNF263,IGF2BP3,4.210234e-02
ZNF263,MAN1A2,1.254855e-01
ZNF263,RPL35,1.324797e-01
ZNF263,ECD,2.265998e-01
ZNF263,SFXN2,2.252438e-01
ZNF263,RAVER1,1.614850e-01
ZNF263,MRPL55,2.055045e-01
ZNF263,VSTM2L,1.167899e-03
ZNF263,TANGO2,6.713174e-02
ZNF263,RBM45,3.087886e-01
ZNF263,AP1S3,1.341181e-01
ZNF263,COL13A1,4.854769e-03
ZNF263,COMT,2.431281e-01
ZNF263,MAP3K8,4.025710e-02
ZNF263,PPARGC1B,1.086932e-01
ZNF263,NCOA7,4.966975e-03
ZNF263,CRKL,3.112749e-02
ZNF263,GLIPR1L2,4.504124e-02
ZNF263,CSNK1E,6.922328e-02
ZNF263,VCAN,7.517808e-02
