V2,V4,X
ZBTB33,GRWD1,0.024473805
ZBTB33,MAD1L1,0.199236808
ZBTB33,SLC25A11,0.058472958
ZBTB33,ZCCHC7,0.143916943
ZBTB33,POLDIP3,0.087435940
ZBTB33,BTBD10,0.141987712
ZBTB33,TMEM79,0.012411419
ZBTB33,NAA38,0.119032698
ZBTB33,JPH4,0.061090152
ZBTB33,MAK16,0.072302491
ZBTB33,OFD1,0.176586791
ZBTB33,ZNF341,0.221456534
ZBTB33,TMEM209,0.085247157
ZBTB33,WDR73,0.156185529
ZBTB33,STRIP1,0.084835424
ZBTB33,DENR,0.137551668
ZBTB33,NOP14,0.098665310
ZBTB33,MBTPS1,0.152012608
ZBTB33,FUBP1,0.110191632
ZBTB33,HERC1,0.029599591
ZBTB33,TOP3B,0.011246683
ZBTB33,RSPH1,0.015526059
ZBTB33,KBTBD6,0.000874871
ZBTB33,LRSAM1,0.105178678
ZBTB33,MGME1,0.074340189
ZBTB33,SNAP29,0.098302672
ZBTB33,PAXBP1,0.030731292
ZBTB33,POLR1C,0.070688537
ZBTB33,RBM39,0.125262250
ZBTB33,RAB36,0.010618299
ZBTB33,DZIP3,0.104604840
ZBTB33,BZW1,0.104680321
ZBTB33,EIF4A3,0.026842912
ZBTB33,CDC5L,0.156726912
ZNF263,FAM13A,0.130965407
ZNF263,CDKN1A,0.014905792
ZNF263,DENND4A,0.118698792
ZNF263,APC2,0.169804608
ZNF263,LAMC3,0.095609334
ZNF263,CDO1,0.162655407
ZNF263,DNPH1,0.262288310
ZNF263,HEXIM1,0.059923558
ZNF263,RGS14,0.075844819
ZNF263,IGF2BP3,0.120212630
ZNF263,MAN1A2,0.142594396
ZNF263,RPL35,0.245025112
ZNF263,ECD,0.281625323
ZNF263,SFXN2,0.372311882
ZNF263,RAVER1,0.099650245
ZNF263,MRPL55,0.301459133
ZNF263,VSTM2L,0.116132694
ZNF263,TANGO2,0.229402685
ZNF263,RBM45,0.224939099
ZNF263,AP1S3,0.242838856
ZNF263,COL13A1,0.078710644
ZNF263,COMT,0.096882019
ZNF263,MAP3K8,0.013115949
ZNF263,PPARGC1B,0.124937596
ZNF263,NCOA7,0.112875645
ZNF263,CRKL,0.133533086
ZNF263,GLIPR1L2,0.162324655
ZNF263,CSNK1E,0.179168708
ZNF263,VCAN,0.127145197
ZNF263,YDJC,0.372366193
ZNF263,ARL6IP6,0.021216495
ZNF263,DBP,0.071048580
ZNF263,PAQR7,0.065407342
ZNF263,PPP1R18,0.098020893
ZNF263,TRDMT1,0.002112956
ZNF263,DPAGT1,0.230206763
ZNF263,DUSP6,0.098314207
ZNF263,ECE1,0.108111375
ZNF263,EGR1,0.012692113
ZNF263,MUC20,0.050366830
ZNF263,UNC13D,0.090434260
ZNF263,ETFB,0.235943439
ZNF263,ETS2,0.135942144
ZNF263,ETV3,0.219525199
ZNF263,BPTF,0.153636202
ZNF263,NYAP1,0.200622987
ZNF263,ALDOA,0.225880145
ZNF263,RAB11FIP2,0.167587096
ZNF263,SBNO2,0.091228788
ZNF263,SIRT2,0.198286565
ZNF263,ACIN1,0.121004641
ZNF263,SETD1B,0.157187616
ZNF263,IQSEC2,0.093557692
ZNF263,TBC1D9,0.211968667
ZNF263,FBXO28,0.155974447
ZNF263,FBXW11,0.220392132
ZNF263,PIP5K1C,0.082347825
ZNF263,COTL1,0.142993351
ZNF263,ABCB10,0.233980658
ZNF263,LRRC8B,0.127826661
ZNF263,FOSL2,0.133866394
ZNF263,ELP5,0.007459526
ZNF263,LEMD3,0.026086074
ZNF263,SDF2L1,0.188738966
ZNF263,PPIL2,0.084642191
ZNF263,ABL1,0.228461309
ZNF263,MSRB3,0.216021996
ZNF263,DSTYK,0.156962964
ZNF263,MDS2,0.015164749
ZNF263,GAMT,0.131247767
ZNF263,ULK3,0.224017251
ZNF263,EDRF1,0.099648801
ZNF263,TIPRL,0.114316505
ZNF263,GART,0.339699945
ZNF263,ARL5A,0.230481723
ZNF263,CNNM1,0.214178357
ZNF263,MDGA1,0.024470491
ZNF263,NPTN,0.153526734
ZNF263,TRMT2A,0.153947136
ZNF263,TAF5L,0.250812485
ZNF263,RSPH14,0.058273529
ZNF263,GLS2,0.115130412
ZNF263,GPR162,0.092759814
ZNF263,AHDC1,0.106721710
ZNF263,GNAZ,0.030890911
ZNF263,ZNF740,0.248422719
ZNF263,MKNK2,0.024764537
ZNF263,GPX1,0.152726761
ZNF263,GIT1,0.032300515
ZNF263,C19orf53,0.082100101
ZNF263,NDUFAF4,0.122009385
ZNF263,USP25,0.097226587
ZNF263,YPEL1,0.130600284
ZNF263,ZDHHC8,0.025685829
ZNF263,ANAPC2,0.198573896
ZNF263,HDGF,0.099571059
ZNF263,EHD2,0.027717028
ZNF263,HIVEP2,0.175991609
ZNF263,HK1,0.059377916
ZNF263,FAM149B1,0.304711284
ZNF263,APBB2,0.197692505
ZNF263,APC,0.277869666
ZNF263,HYAL1,0.136253979
ZNF263,ZNF260,0.257936051
ZNF263,IREB2,0.201261099
ZNF263,MAST4,0.272687695
ZNF263,RHOC,0.033638387
ZNF263,ARL3,0.274724553
ZNF263,LTA4H,0.230061514
ZNF263,SMAD3,0.078700964
ZNF263,SMAD7,0.006410611
ZNF263,ARSB,0.055858717
ZNF263,MARK1,0.138110986
ZNF263,MBD1,0.006336140
ZNF263,MEF2C,0.147199266
ZNF263,ARVCF,0.019051015
ZNF263,MST1,0.132511052
ZNF263,ATM,0.271437738
ZNF263,NFKBIB,0.014245441
ZNF263,NFKBIL1,0.215996002
ZNF263,NID1,0.167793676
ZNF263,NPAT,0.138733711
ZNF263,P4HB,0.212448097
ZNF263,HDDC2,0.363037532
ZNF263,ZNF593,0.173180257
ZNF263,KCTD3,0.281734646
ZNF263,PCSK5,0.188638384
ZNF263,CSAD,0.121392578
ZNF263,NOP16,0.052463311
ZNF263,MED15,0.192877466
ZNF263,MPP6,0.204949892
ZNF263,PI4KA,0.168606686
ZNF263,PLAUR,0.122026419
ZNF263,POLR2A,0.143649653
ZNF263,NLE1,0.016691965
ZNF263,DGCR8,0.017253742
ZNF263,RC3H2,0.115103591
ZNF263,DIRAS2,0.000125754
